kyc_verified,account_age_days,transaction_amount,hour,day,weekday,channel_atm,channel_mobile,channel_pos,channel_web,avg_txn_per_customer,txns_count_per_customer,amt_deviation,high_amount_flag,is_night,is_weekend,is_fraud
1,0.7822014051522248,0.02256729349746152,13,9,5,0,0,0,1,38947.0,7,-31440.0,0,0,0,0
0,0.6192706590833055,0.7962795894969794,17,8,4,0,1,0,0,88983.57142857143,7,139762.42857142858,1,0,0,0
1,0.43994647039143525,0.033240682580717766,3,12,1,0,0,0,1,9188.2,10,1370.7999999999993,0,1,0,0
1,0.5199063231850117,0.21026436606870855,4,16,5,0,1,0,0,15292.0,8,45886.0,0,1,0,0
1,0.5884911341585815,0.03233491332365244,14,16,5,1,0,0,0,9706.5,8,593.5,0,0,0,0
0,0.22047507527601204,0.07488508533413041,9,21,3,0,0,1,0,45324.6,5,-22857.6,0,0,0,0
1,0.28738708598193374,0.01611849616144431,18,14,3,0,1,0,0,35536.454545454544,11,-29873.454545454544,0,0,0,0
0,0.6062228169956507,0.04215848800742269,4,15,4,0,0,1,0,23069.11111111111,9,-9960.11111111111,0,1,0,0
1,0.46436935429909665,0.2393888694387472,3,23,5,0,1,0,0,53278.11111111111,9,16227.88888888889,0,1,0,0
1,0.6938775510204082,0.21045321371303877,17,5,1,0,1,0,0,53362.4,10,7869.5999999999985,0,0,0,0
1,0.947808631649381,0.023847260864588576,23,20,2,1,0,0,0,100604.81818181818,11,-92731.81818181818,0,1,0,0
1,0.47607895617263296,0.01557293630004589,16,19,1,0,0,1,0,35703.0,6,-30196.0,0,0,0,0
0,0.6507193041150886,0.032278958466073114,13,9,5,1,0,0,0,15854.75,8,-5570.75,0,0,0,1
1,0.8357310137169621,0.011572163983124155,10,9,5,0,0,0,1,29086.428571428572,7,-24723.428571428572,0,0,0,0
1,0.9240548678487789,0.015761783944376113,9,13,2,0,1,0,0,48486.5,4,-42925.5,0,0,0,0
1,0.41385078621612575,0.023007938000898703,14,19,1,0,0,0,1,88712.69750000001,4,-81079.69750000001,0,0,0,0
1,0.7765138842422215,0.008669505746196668,23,25,0,0,1,0,0,63947.25,4,-60414.25,0,1,0,0
1,0.38139846102375374,0.03086609831219516,7,16,5,0,1,0,0,8227.6,5,1652.3999999999996,0,0,0,0
