transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,timestamp,is_fraud,hour,day,weekday,channel_atm,channel_mobile,channel_pos,channel_web,avg_txn_per_customer,txns_count_per_customer,amt_deviation,high_amount_flag,is_night,is_weekend
TXN_200000,CUST_799,1,0.3479424556707929,0.8928821539290853,2025-08-12 02:10:24,0,2,12,1,0,1,0,0,71363.0,6,185006.0,1,1,0
TXN_200001,CUST_484,1,0.09534961525593844,0.01932890611505808,2025-08-25 01:14:31,0,1,25,0,0,1,0,0,42338.25,4,-35757.25,0,1,0
TXN_200002,CUST_791,1,0.6935429909668785,0.01202330002235746,2025-08-17 12:12:40,0,12,17,6,0,1,0,0,27655.285714285714,7,-23163.285714285714,0,0,0
TXN_200003,CUST_664,1,0.9297423887587821,0.9594824231628769,2025-08-07 06:23:54,0,6,7,3,0,0,1,0,47928.454545454544,11,227484.54545454547,1,0,0
TXN_200004,CUST_157,1,0.22883907661425226,0.339380199933001,2025-08-20 21:55:54,0,21,20,2,0,0,1,0,53172.2,15,44925.8,0,0,0
TXN_200005,CUST_654,1,0.5399799263967882,0.04787637501630996,2025-08-17 12:32:58,0,12,17,6,0,1,0,0,54234.25,8,-39490.25,0,0,0
TXN_200006,CUST_288,1,0.8350618936099029,0.01693333877494323,2025-08-23 01:48:53,0,1,23,5,1,0,0,0,47971.166666666664,6,-42075.166666666664,0,1,0
TXN_200007,CUST_135,0,0.6661090665774506,0.014765088043744386,2025-08-02 07:31:35,0,7,2,5,0,0,0,1,27421.615384615383,13,-22145.615384615383,0,0,0
TXN_200008,CUST_738,1,0.758113081298093,0.052373746694248206,2025-08-10 03:59:35,0,3,10,6,0,0,0,1,14278.0,6,1752.0,0,1,0
TXN_200009,CUST_639,1,0.6590833054533288,0.014828037258521127,2025-08-24 00:20:12,0,0,24,6,0,0,0,1,58948.421111111114,9,-53654.421111111114,0,1,0
TXN_200010,CUST_526,1,0.46436935429909665,0.2393888694387472,2025-08-23 03:36:52,0,3,23,5,0,1,0,0,53278.11111111111,9,16227.88888888889,0,1,0
TXN_200011,CUST_234,1,0.9969889595182335,0.06775433817136518,2025-08-14 07:00:26,0,7,14,3,0,0,0,1,22713.75,8,-2285.75,0,0,0
TXN_200012,CUST_625,1,0.6513884242221478,0.4360981712588643,2025-08-22 23:22:59,0,23,22,4,0,0,0,1,46182.25,4,79571.75,0,1,0
TXN_200013,CUST_137,0,0.2268317162930746,0.018874272897226065,2025-08-12 06:32:45,1,6,12,1,0,0,0,1,5846.571428571428,7,604.4285714285716,0,0,0
TXN_200014,CUST_584,0,0.4596855135496822,0.03751073764974,2025-08-12 11:08:57,0,11,12,1,0,1,0,0,41953.75,8,-30173.75,0,0,0
TXN_200015,CUST_408,0,0.1753094680495149,0.7467525461820793,2025-08-06 21:54:51,1,21,6,2,0,0,0,1,74443.0,8,140141.0,0,0,0
TXN_200016,CUST_777,1,0.8380729340916694,0.15238606026009424,2025-08-05 04:51:42,0,4,5,1,0,0,0,1,96639.0,4,-52011.0,0,1,0
TXN_200017,CUST_381,1,0.8805620608899297,0.021374755595302154,2025-08-20 06:50:29,0,6,20,2,0,1,0,0,9099.5,6,-1933.5,0,0,0
TXN_200018,CUST_127,1,0.6945466711274674,0.020143748728557002,2025-08-09 08:05:24,0,8,9,5,0,1,0,0,41678.818181818184,11,-34864.818181818184,0,0,0
TXN_200019,CUST_451,1,0.15122114419538307,0.04533392617504938,2025-08-20 19:00:24,0,19,20,2,0,0,0,1,20920.0,9,-6903.0,0,0,0
TXN_200020,CUST_612,1,0.08330545332887253,0.03296090829282114,2025-08-04 00:43:17,0,0,4,0,0,1,0,0,28936.714285714286,7,-18457.714285714286,0,1,0
TXN_200021,CUST_435,1,0.3318835731013717,0.4920949949813738,2025-08-04 12:37:16,1,12,4,0,0,1,0,0,73504.42857142857,7,68261.57142857143,0,0,0
TXN_200022,CUST_630,1,0.727333556373369,0.6152831111208565,2025-08-18 15:40:14,1,15,18,0,0,0,0,1,93592.75,8,83398.25,0,0,0
TXN_200023,CUST_194,1,0.335898293743727,0.009491342716893003,2025-08-19 05:43:22,0,5,19,1,1,0,0,0,50703.09090909091,11,-46935.09090909091,0,1,0
TXN_200024,CUST_682,1,0.6935429909668785,0.01346413760502508,2025-08-03 23:34:35,0,23,3,6,1,0,0,0,52408.125,8,-47504.125,0,1,0
TXN_200025,CUST_641,1,0.12679826028772165,0.04063721531698479,2025-08-16 12:58:49,0,12,16,5,0,0,0,1,13275.875,8,-601.875,0,0,0
TXN_200026,CUST_507,0,0.3054533288725326,0.4652016915573107,2025-08-18 00:07:21,1,0,18,0,0,0,1,0,34930.166666666664,6,99145.83333333334,0,1,0
TXN_200027,CUST_212,1,0.8892606222816996,0.021867857777719955,2025-08-02 17:09:39,0,17,2,5,0,0,0,1,11792.3,10,-4485.299999999999,0,0,0
TXN_200028,CUST_424,0,0.3763800602208096,0.017073225918891544,2025-08-17 15:07:56,0,15,17,6,1,0,0,0,8007.625,8,-2071.625,0,0,0
TXN_200029,CUST_106,1,0.38942790230846436,0.03053036916671921,2025-08-17 18:54:19,0,18,17,6,0,1,0,0,60061.5,8,-50277.5,0,0,0
TXN_200030,CUST_309,1,0.7423887587822013,0.014016691823620916,2025-08-11 10:07:23,0,10,11,0,1,0,0,0,26082.46153846154,13,-21020.46153846154,0,0,0
TXN_200031,CUST_242,1,0.9735697557711609,0.012670278063118406,2025-08-22 12:04:51,0,12,22,4,0,1,0,0,13842.0,7,-9165.0,0,0,0
TXN_200032,CUST_787,1,0.5550351288056206,0.01435941532629428,2025-08-11 10:20:41,0,10,11,0,0,0,1,0,26177.090909090908,11,-21017.090909090908,0,0,0
TXN_200033,CUST_514,1,0.29106724657075944,0.012131712558917401,2025-08-06 21:43:40,0,21,6,2,0,1,0,0,79987.42857142857,7,-75464.42857142857,0,0,0
TXN_200034,CUST_217,0,0.4125125460020074,0.014904975187692699,2025-08-02 22:11:31,0,22,2,5,1,0,0,0,31177.714285714286,7,-25861.714285714286,0,1,0
TXN_200035,CUST_689,1,0.1612579458012713,0.018828809575442865,2025-08-16 11:34:01,0,11,16,5,1,0,0,0,12879.545454545454,11,-6441.545454545454,0,0,0
TXN_200036,CUST_122,1,0.5550351288056206,0.039815378346288455,2025-08-03 02:09:23,0,2,3,6,1,0,0,0,30457.571428571428,7,-18018.571428571428,0,1,0
TXN_200037,CUST_397,0,0.16393442622950818,0.14353120404816605,2025-08-03 20:20:13,0,20,3,6,0,1,0,0,19327.666666666668,6,22768.333333333332,0,0,0
TXN_200038,CUST_610,1,0.21344931415189025,0.01501338772425264,2025-08-04 19:57:44,0,19,4,0,0,1,0,0,36642.8,10,-31295.800000000003,0,0,0
TXN_200039,CUST_171,0,0.9601873536299765,0.6616766824113144,2025-08-01 06:53:21,0,6,1,4,1,0,0,0,63014.875,8,127242.125,0,0,0
TXN_200040,CUST_521,1,0.6142522582803613,0.01752785913672356,2025-08-18 16:29:31,0,16,18,0,1,0,0,0,9618.545454545454,11,-3552.545454545454,0,0,0
TXN_200041,CUST_303,1,0.8956172632987621,0.6269462017475471,2025-08-22 19:35:32,0,19,22,4,0,1,0,0,50576.6,10,129749.4,0,0,0
TXN_200042,CUST_324,1,0.2345265975242556,0.013506103748209573,2025-08-14 18:02:50,0,18,14,3,0,1,0,0,45324.6,5,-40408.6,0,0,0
TXN_200043,CUST_115,1,0.38842422214787553,0.02182938881313417,2025-08-13 17:49:47,0,17,13,2,0,1,0,0,28795.076923076922,13,-21499.076923076922,0,0,0
TXN_200044,CUST_662,1,0.3626630980260957,1.0,2025-08-04 19:29:58,0,19,4,0,0,1,0,0,45097.52636363637,11,241901.26363636367,1,0,0
TXN_200045,CUST_111,0,0.8665105386416861,0.020119268478366047,2025-08-03 06:03:48,0,6,3,6,1,0,0,0,49901.38461538462,13,-43094.38461538462,0,0,0
TXN_200046,CUST_365,1,0.15021746403479425,0.5644026596882565,2025-08-09 06:00:46,1,6,9,5,0,1,0,0,27753.222222222223,9,134688.77777777778,0,0,0
TXN_200047,CUST_313,1,0.24723987955838073,0.007942092597665443,2025-08-03 15:37:50,1,15,3,6,0,0,0,1,47258.6,10,-43933.6,0,0,0
TXN_200048,CUST_166,1,0.9501505520240883,0.015541461692657521,2025-08-04 13:51:34,0,13,4,0,0,1,0,0,10553.818181818182,11,-5055.818181818182,0,0,0
TXN_200049,CUST_693,1,0.15925058548009366,0.020990065949444293,2025-08-25 17:38:44,0,17,25,0,0,0,0,1,10244.0,5,-3188.0,0,0,0
TXN_200050,CUST_377,0,0.20541987286717964,0.03975242913151171,2025-08-13 19:29:20,0,19,13,2,0,0,0,1,49611.0,8,-37190.0,0,0,0
TXN_200051,CUST_114,1,0.9243894279023085,0.47308782929739684,2025-08-19 01:58:11,0,1,19,1,0,0,0,1,67223.57142857143,7,69107.42857142857,0,1,0
TXN_200052,CUST_174,1,0.7771830043492807,0.03184530831983334,2025-08-10 17:52:50,0,17,10,6,0,1,0,0,53362.4,10,-43202.4,0,0,0
TXN_200053,CUST_175,0,0.8738708598193375,0.012708747027704193,2025-08-06 20:03:37,0,20,6,2,1,0,0,0,55040.0,9,-50352.0,0,0,0
TXN_200054,CUST_693,1,0.2191368350618936,0.04858979945044636,2025-08-21 17:24:03,0,17,21,3,1,0,0,0,10244.0,5,4704.0,0,0,0
TXN_200055,CUST_354,1,0.19672131147540983,0.021720976276574225,2025-08-01 07:18:19,0,7,1,4,0,1,0,0,12006.2,5,-4741.200000000001,0,0,0
TXN_200056,CUST_232,1,0.7346938775510203,0.016027569517877906,2025-08-09 14:30:05,0,14,9,5,0,1,0,0,121827.25,4,-116190.25,0,0,0
TXN_200057,CUST_755,1,0.04717296754767481,0.048414940520510964,2025-08-03 15:31:07,0,15,3,6,0,1,0,0,28273.0,6,-13375.0,0,0,0
TXN_200058,CUST_184,1,0.54700568752091,0.01661159834386211,2025-08-10 05:37:29,0,5,10,6,0,1,0,0,36808.454545454544,11,-31004.454545454544,0,1,0
TXN_200059,CUST_782,0,0.5306122448979592,0.028257203077559127,2025-08-17 22:30:51,0,22,17,6,0,1,0,0,14071.083333333334,12,-4937.083333333334,0,1,0
TXN_200060,CUST_389,0,0.12746738039478087,0.006333390442259849,2025-08-15 18:21:30,0,18,15,4,0,1,0,0,30784.625,8,-27919.625,0,0,0
TXN_200061,CUST_100,1,0.02776848444295751,0.6944312571668118,2025-08-17 05:17:53,0,5,17,6,0,0,0,1,59836.75,4,139786.25,0,1,0
TXN_200062,CUST_211,0,0.3904315824690532,0.02736192535628993,2025-08-20 20:43:07,0,20,20,2,0,0,0,1,62081.77777777778,9,-53203.77777777778,0,0,0
TXN_200063,CUST_609,1,0.39979926396788223,0.5114693644182151,2025-08-11 19:55:08,1,19,11,0,0,0,0,1,103418.85714285714,7,43887.142857142855,0,0,0
TXN_200064,CUST_720,1,0.26497156239545,0.040819068604117596,2025-08-12 07:14:15,0,7,12,1,0,0,0,1,14119.2,5,-1393.2000000000007,0,0,0
TXN_200065,CUST_430,1,0.1565741050518568,0.39332417981806905,2025-08-14 02:28:54,0,2,14,3,0,1,0,0,18316.444444444445,9,95206.55555555556,0,1,0
TXN_200066,CUST_795,1,0.39277350284376045,0.05276892787590219,2025-08-20 10:34:52,0,10,20,2,1,0,0,0,29086.428571428572,7,-12943.428571428572,0,0,0
TXN_200067,CUST_496,1,0.4449648711943794,0.02521465769668333,2025-08-13 08:35:08,0,8,13,2,1,0,0,0,5249.2,5,3014.8,0,0,0
TXN_200068,CUST_267,1,0.8872532619605219,0.010075371542877208,2025-08-14 00:38:36,0,0,14,3,0,0,0,1,23552.222222222223,9,-19617.222222222223,0,1,0
TXN_200069,CUST_140,1,0.9996654399464704,0.03535297845433728,2025-08-21 12:30:49,0,12,21,3,0,0,0,1,11079.0,7,84.0,0,0,0
TXN_200070,CUST_334,1,0.7922382067581131,0.028418073293099685,2025-08-19 01:59:25,0,1,19,1,0,0,1,0,67474.0,5,-58294.0,0,1,0
